"","player","count","innings","bm4","totalwickets","bm5","X","Economy","Wicket.Taking.Ability","Consistency"
"309","Sohail Tanvir",2,11,0.181818181818182,24,2.44444444444444,140,6.22641509433962,11.0416666666667,11.4583333333333
"13","A Zampa",1,11,0.0909090909090909,19,1.8,157,7.49333333333333,11.8421052631579,14.7894736842105
"81","CRD Fernando",1,10,0.1,19,2,147,7.37349397590361,13.1052631578947,16.1052631578947
"191","MF Maharoof",1,20,0.05,33,1.68421052631579,95,7.23809523809524,13.3636363636364,16.1212121212121
"343","WPUJC Vaas",0,13,0,22,1.69230769230769,129,7.58333333333333,13.0909090909091,16.5454545454545
"88","DE Bollinger",2,27,0.0740740740740741,43,1.64,80,7.16,13.953488372093,16.6511627906977
"63","BJ Hodge",1,20,0.05,18,0.894736842105263,153,7.81512605042017,13.2222222222222,17.2222222222222
"303","SL Malinga",9,110,0.0818181818181818,170,1.59405940594059,2,6.75723830734967,15.8470588235294,17.8470588235294
"187","MA Starc",2,26,0.0769230769230769,39,1.54166666666667,77,7.1078431372549,15.6923076923077,18.5897435897436
"240","R Rampaul",0,12,0,17,1.41666666666667,133,6.88489208633094,16.3529411764706,18.7647058823529
"20","AB McDonald",1,10,0.1,14,1.44444444444444,180,8.3936170212766,13.4285714285714,18.7857142857143
"216","NM Coulter-Nile",1,25,0.04,39,1.58333333333333,81,7.56655290102389,15.025641025641,18.9487179487179
"310","SP Narine",8,81,0.0987654320987654,109,1.38356164383562,16,6.39570552147239,17.9449541284404,19.1284403669725
"25","AD Mascarenhas",1,13,0.0769230769230769,19,1.5,124,7.06451612903226,16.3157894736842,19.2105263157895
"74","CJ Jordan",1,10,0.1,14,1.44444444444444,179,8.80851063829787,13.4285714285714,19.7142857142857
"125","Imran Tahir",3,32,0.09375,50,1.62068965517241,66,8.19073569482289,14.68,20.04
"249","Rashid Khan",0,14,0,18,1.28571428571429,115,6.73170731707317,18.2222222222222,20.4444444444444
"89","DJ Bravo",2,103,0.0194174757281553,137,1.33663366336634,10,8.00473933649289,15.4014598540146,20.5474452554745
"51","B Kumar",3,90,0.0333333333333333,117,1.31034482758621,11,7.03992210321324,17.5555555555556,20.5982905982906
"251","RE van der Merwe",0,21,0,25,1.19047619047619,93,6.79120879120879,18.2,20.6
"10","A Singh",1,23,0.0434782608695652,31,1.36363636363636,90,7.88888888888889,15.6774193548387,20.6129032258065
"352","YA Abdulla",2,11,0.181818181818182,15,1.44444444444444,160,8.40540540540541,14.8,20.7333333333333
"8","A Nehra",3,88,0.0340909090909091,121,1.38823529411765,13,7.7112462006079,16.3140495867769,20.9669421487603
"207","MR Marsh",1,18,0.0555555555555556,20,1.11764705882353,117,7.70642201834862,16.35,21
"341","Washington Sundar",0,10,0,9,0.9,184,6.23076923076923,20.2222222222222,21
"1","A Ashish Reddy",0,20,0,19,0.95,138,8.88888888888889,14.2105263157895,21.0526315789474
"72","CH Morris",2,48,0.0416666666666667,62,1.30434782608696,44,7.52591170825336,16.8064516129032,21.0806451612903
"198","MM Patel",4,63,0.0634920634920635,82,1.32203389830508,30,7.52387843704776,16.8536585365854,21.1341463414634
"284","Sandeep Sharma",2,56,0.0357142857142857,76,1.37037037037037,34,7.6496465043205,16.75,21.3552631578947
"99","DP Nannes",1,29,0.0344827586206897,38,1.32142857142857,71,7.09724238026125,18.1315789473684,21.4473684210526
"66","BW Hilfenhaus",0,17,0,23,1.35294117647059,101,7.64615384615385,16.9565217391304,21.6086956521739
"80","CR Woakes",0,13,0,18,1.38461538461538,134,8.48201438848921,15.4444444444444,21.8333333333333
"161","KK Cooper",1,25,0.04,36,1.45833333333333,79,7.89,16.6666666666667,21.9166666666667
"266","S Aravind",2,38,0.0526315789473684,48,1.27777777777778,62,8.04822335025381,16.4166666666667,22.0208333333333
"135","JD Unadkat",3,46,0.0652173913043478,60,1.32558139534884,45,8.00804020100503,16.5833333333333,22.1333333333333
"354","YS Chahal",1,55,0.0181818181818182,72,1.31481481481481,36,7.87530762920427,16.9305555555556,22.2222222222222
"5","A Kumble",4,42,0.0952380952380952,49,1.18421052631579,46,6.646998982706,20.0612244897959,22.2244897959184
"2","A Chandila",1,12,0.0833333333333333,11,0.909090909090909,155,6.28205128205128,21.2727272727273,22.2727272727273
"167","KW Richardson",1,14,0.0714285714285714,20,1.46153846153846,118,8.28220858895705,16.3,22.5
"47","Azhar Mahmood",0,23,0,31,1.34782608695652,85,7.68478260869565,17.8064516129032,22.8064516129032
"199","MM Sharma",2,75,0.0266666666666667,91,1.21917808219178,27,8,17.2087912087912,22.9450549450549
"254","RJ Harris",1,37,0.027027027027027,47,1.27777777777778,58,7.52601156069364,18.4042553191489,23.0851063829787
"262","RS Bopara",0,14,0,13,0.928571428571429,164,8.47887323943662,16.3846153846154,23.1538461538462
"235","R Ashwin",2,108,0.0185185185185185,110,1.0188679245283,5,6.49088596863078,21.4454545454545,23.2
"348","VY Mahesh",1,17,0.0588235294117647,22,1.3125,109,8.54038997214485,16.3181818181818,23.2272727272727
"6","A Mishra",5,126,0.0396825396825397,142,1.13223140495868,1,7.33629300776915,19.0352112676056,23.2746478873239
"56","BA Stokes",0,12,0,14,1.16666666666667,136,7.16058394160584,19.5714285714286,23.3571428571429
"294","Shakib Al Hasan",0,42,0,48,1.14285714285714,48,7.11510031678986,19.7291666666667,23.3958333333333
"109","GB Hogg",1,21,0.0476190476190476,25,1.2,92,7.53218884120172,18.64,23.4
"166","Kuldeep Yadav",0,14,0,19,1.35714285714286,120,8.27777777777778,17.0526315789474,23.5263157894737
"342","WD Parnell",1,26,0.0384615384615385,31,1.2,78,7.29783693843594,19.3870967741935,23.5806451612903
"220","P Negi",1,36,0.0277777777777778,34,0.942857142857143,76,7.53051643192488,18.7941176470588,23.5882352941176
"306","SM Pollock",1,13,0.0769230769230769,13,1,131,6.57857142857143,21.5384615384615,23.6153846153846
"102","DS Kulkarni",1,72,0.0138888888888889,81,1.12676056338028,29,7.74949494949495,18.3333333333333,23.679012345679
"104","DW Steyn",0,90,0,100,1.11111111111111,8,6.60027790643817,21.59,23.75
"117","Harmeet Singh",0,27,0,30,1.11111111111111,86,7.79234972677596,18.3,23.7666666666667
"192","MG Johnson",1,48,0.0208333333333333,64,1.34042553191489,38,7.81849315068493,18.25,23.78125
"245","R Vinay Kumar",3,102,0.0294117647058824,125,1.23232323232323,7,8.26284127718649,17.288,23.808
"130","J Theron",1,10,0.1,13,1.33333333333333,154,7.94042553191489,18.0769230769231,23.9230769230769
"356","Z Khan",3,99,0.0303030303030303,119,1.20833333333333,6,7.53954305799649,19.1260504201681,24.0336134453782
"85","D Wiese",1,14,0.0714285714285714,17,1.23076923076923,128,8.49134948096886,17,24.0588235294118
"257","RP Singh",4,82,0.0487804878048781,100,1.23076923076923,18,7.73852721451441,18.74,24.17
"196","MJ McClenaghan",2,40,0.05,56,1.42105263157895,47,8.28513238289206,17.5357142857143,24.2142857142857
"164","KP Pietersen",0,13,0,9,0.692307692307692,187,7.26666666666667,20,24.2222222222222
"233","PP Ojha",1,90,0.0111111111111111,99,1.10112359550562,17,7.40051413881748,19.6464646464646,24.2323232323232
"209","Mustafizur Rahman",0,17,0,19,1.11764705882353,100,7.0381679389313,20.6842105263158,24.2631578947368
"182","M Morkel",3,70,0.0428571428571429,88,1.26865671641791,22,7.54326074161271,19.3068181818182,24.2727272727273
"218","P Awana",1,33,0.0303030303030303,43,1.3125,64,8.10852713178295,18,24.3255813953488
"147","JP Faulkner",5,60,0.0833333333333333,76,1.29090909090909,31,8.62004662004662,16.9342105263158,24.3289473684211
"302","SK Warne",1,54,0.0185185185185185,60,1.11320754716981,35,7.18724448078495,20.3833333333333,24.4166666666667
"170","L Balaji",4,73,0.0547945205479452,85,1.17391304347826,26,7.94027954256671,18.5176470588235,24.5058823529412
"317","ST Jayasuriya",1,21,0.0476190476190476,16,0.75,127,7.8936877076412,18.8125,24.75
"313","SR Watson",2,94,0.0212765957446809,100,1.06521739130435,15,7.6185619581846,19.61,24.9
"232","PP Chawla",3,128,0.0234375,133,1.04,4,7.66769468003084,19.5037593984962,24.9248120300752
"126","Iqbal Abdulla",0,48,0,45,0.9375,50,7.15800636267232,20.9555555555556,25
"139","JEC Franklin",0,15,0,9,0.6,197,8.70967741935484,17.2222222222222,25
"132","JA Morkel",3,87,0.0344827586206897,96,1.10714285714286,19,7.9988931931378,18.8229166666667,25.09375
"236","R Bhatia",2,91,0.021978021978022,82,0.898876404494382,23,7.43768813967489,20.2560975609756,25.109756097561
"168","KV Sharma",2,55,0.0363636363636364,54,0.981132075471698,43,7.78393881453155,19.3703703703704,25.1296296296296
"95","DJG Sammy",1,19,0.0526315789473684,14,0.722222222222222,150,8.70491803278689,17.4285714285714,25.2857142857143
"116","Harbhajan Singh",3,134,0.0223880597014925,136,1.01526717557252,0,6.93141518902643,21.9779411764706,25.3897058823529
"318","STR Binny",0,57,0,27,0.473684210526316,84,7.42960288808664,20.5185185185185,25.4074074074074
"27","AD Russell",2,34,0.0588235294117647,36,1.0625,75,8.45161290322581,18.0833333333333,25.4722222222222
"308","SN Thakur",1,13,0.0769230769230769,14,1.08333333333333,144,8.29343629343629,18.5,25.5714285714286
"19","AB Dinda",2,75,0.0266666666666667,82,1.0958904109589,24,7.94084329767149,19.3780487804878,25.6463414634146
"320","SW Tait",1,21,0.0476190476190476,26,1.25,88,7.50561797752809,20.5384615384615,25.6923076923077
"79","CR Brathwaite",0,10,0,10,1,185,8.58563535911602,18.1,25.9
"42","AR Patel",1,59,0.0169491525423729,61,1.03448275862069,32,7.425,20.983606557377,25.9672131147541
"23","AC Thomas",0,15,0,16,1.06666666666667,116,7.63302752293578,20.4375,26
"110","GD McGrath",1,14,0.0714285714285714,14,1,114,6.67477203647416,23.5,26.1428571428571
"335","UT Yadav",4,93,0.043010752688172,107,1.15730337078652,12,8.26955238563699,19,26.1869158878505
"242","R Sharma",0,44,0,42,0.954545454545455,51,7.05882352941176,22.2619047619048,26.1904761904762
"97","DL Vettori",1,34,0.0294117647058824,34,1,63,6.83312101910828,23.0882352941176,26.2941176470588
"293","Shahid Afridi",0,10,0,9,0.9,181,7.68648648648649,20.5555555555556,26.3333333333333
"183","M Muralitharan",2,66,0.0303030303030303,67,1.015625,25,6.69829222011385,23.5970149253731,26.3432835820896
"62","Bipul Sharma",0,28,0,22,0.785714285714286,98,7.9954128440367,19.8181818181818,26.4090909090909
"163","KP Appanna",1,13,0.0769230769230769,11,0.833333333333333,159,7.86486486486486,20.1818181818182,26.4545454545455
"270","S Kaul",1,21,0.0476190476190476,23,1.1,97,8.40825688073394,18.9565217391304,26.5652173913043
"301","SK Trivedi",4,75,0.0533333333333333,73,0.971830985915493,28,7.49132947976879,21.3287671232877,26.6301369863014
"154","KA Pollard",2,81,0.0246913580246914,67,0.822784810126582,33,8.39341692789969,19.044776119403,26.6417910447761
"29","AG Murtaza",0,12,0,12,1,139,7.182156133829,22.4166666666667,26.8333333333333
"176","LR Shukla",0,27,0,17,0.62962962962963,119,8.42944785276074,19.1764705882353,26.9411764705882
"120","HV Patel",0,34,0,37,1.08823529411765,69,8.47807637906648,19.1081081081081,27
"141","JJ Bumrah",1,47,0.0212765957446809,53,1.1304347826087,42,7.93173431734317,20.4528301886792,27.0377358490566
"124","IK Pathan",0,101,0,99,0.98019801980198,9,7.6980596308566,21.3434343434343,27.3838383838384
"355","Yuvraj Singh",2,71,0.028169014084507,39,0.536231884057971,57,7.37399309551208,22.2820512820513,27.3846153846154
"229","PJ Cummins",0,16,0,19,1.1875,102,8.31134564643799,19.9473684210526,27.6315789473684
"136","JDP Oram",0,14,0,13,0.928571428571429,149,8.90163934426229,18.7692307692308,27.8461538461538
"215","NLTC Perera",0,36,0,37,1.02777777777778,67,8.65174825174825,19.3243243243243,27.8648648648649
"253","RG Sharma",2,30,0.0666666666666667,16,0.5,112,7.87719298245614,21.375,28.0625
"329","TL Suman",0,11,0,7,0.636363636363636,201,7.81578947368421,21.7142857142857,28.2857142857143
"277","S Sreesanth",0,44,0,43,0.977272727272727,49,7.73600844772967,22.0232558139535,28.3953488372093
"200","MN Samuels",0,11,0,10,0.909090909090909,163,7.80821917808219,21.9,28.5
"57","Basil Thampi",1,12,0.0833333333333333,15,1.27272727272727,132,9.23741007194245,18.5333333333333,28.5333333333333
"246","RA Jadeja",4,112,0.0357142857142857,89,0.787037037037037,14,7.76758409785933,22.0449438202247,28.5393258426966
"134","JD Ryder",0,16,0,11,0.6875,151,7.81742738589212,21.9090909090909,28.5454545454545
"206","MP Stoinis",1,12,0.0833333333333333,11,0.909090909090909,171,9.01435406698565,19,28.5454545454545
"129","J Syed Mohammad",0,11,0,10,0.909090909090909,175,8.75510204081633,19.6,28.6
"230","PJ Sangwan",0,38,0,41,1.07894736842105,59,8.46594982078853,20.4146341463415,28.8048780487805
"286","SB Jakati",2,57,0.0350877192982456,50,0.872727272727273,41,8.03269754768392,22.02,29.48
"227","PC Valthaty",1,10,0.1,7,0.666666666666667,199,8.11764705882353,21.8571428571429,29.5714285714286
"299","SJ Srivastava",0,14,0,15,1.07142857142857,125,8.70588235294118,20.4,29.6
"103","DT Christian",0,36,0,32,0.888888888888889,65,7.67871485943775,23.34375,29.875
"190","MC Henriques",0,55,0,42,0.763636363636364,54,8.20261437908497,21.8571428571429,29.8809523809524
"267","S Badree",1,12,0.0833333333333333,11,0.909090909090909,142,7.50570342205323,23.9090909090909,29.9090909090909
"11","A Symonds",0,30,0,23,0.766666666666667,87,7.71111111111111,23.4782608695652,30.1739130434783
"127","J Botha",0,34,0,27,0.794117647058823,68,6.92242595204513,26.2592592592593,30.2962962962963
"159","KH Pandya",0,24,0,17,0.708333333333333,96,7.06363636363636,25.8823529411765,30.4705882352941
"101","DR Smith",1,46,0.0217391304347826,27,0.577777777777778,83,8.88689407540395,20.6296296296296,30.5555555555556
"261","RR Raje",0,10,0,7,0.7,203,8.91666666666667,20.5714285714286,30.5714285714286
"290","SC Ganguly",0,20,0,12,0.6,130,7.92857142857143,23.3333333333333,30.8333333333333
"288","SB Styris",0,11,0,9,0.818181818181818,161,7.51351351351351,24.6666666666667,30.8888888888889
"234","PV Tambe",1,33,0.0303030303030303,28,0.84375,73,7.70919881305638,24.0714285714286,30.9285714285714
"326","TA Boult",0,14,0,16,1.14285714285714,110,8.45070422535211,22.1875,31.25
"344","VR Aaron",0,40,0,40,1,56,8.29646017699115,22.6,31.25
"40","Anureet Singh",0,19,0,19,1,99,8.77832512315271,21.3684210526316,31.2631578947368
"256","RN ten Doeschate",0,10,0,3,0.3,239,6.79518072289157,27.6666666666667,31.3333333333333
"43","AS Rajpoot",0,11,0,8,0.727272727272727,182,8.18478260869565,23,31.375
"55","BA Bhatt",1,15,0.0666666666666667,13,0.857142857142857,126,8.07920792079208,23.3076923076923,31.3846153846154
"353","YK Pathan",0,80,0,45,0.5625,39,7.31217838765009,25.9111111111111,31.5777777777778
"140","JH Kallis",0,89,0,74,0.831460674157303,20,7.83101723179544,24.3108108108108,31.7297297297297
"123","IC Pandey",0,24,0,19,0.791666666666667,91,7.7910447761194,24.6842105263158,32.0526315789474
"145","Joginder Sharma",0,15,0,13,0.866666666666667,137,9.28676470588235,20.9230769230769,32.3846153846154
"237","R Dhawan",0,25,0,20,0.8,89,7.66081871345029,25.65,32.75
"219","P Kumar",0,119,0,102,0.857142857142857,3,7.60409556313993,25.8529411764706,32.7647058823529
"208","MS Gony",0,44,0,39,0.886363636363636,52,8.5427027027027,23.7179487179487,33.7692307692308
"58","BAW Mendis",0,10,0,9,0.9,148,7.40322580645161,27.5555555555556,34
"273","S Nadeem",0,53,0,39,0.735849056603774,40,7.02902374670185,29.1538461538462,34.1538461538462
"345","VRV Singh",0,18,0,16,0.888888888888889,105,8.87870619946092,23.1875,34.3125
"36","AN Ahmed",0,17,0,15,0.882352941176471,108,8.53591160220994,24.1333333333333,34.3333333333333
"59","BB Sran",0,16,0,14,0.875,111,8.43478260869565,24.6428571428571,34.6428571428571
"178","M Ashwin",0,10,0,7,0.7,189,8.35227272727273,25.1428571428571,35
"48","B Akhil",0,13,0,7,0.538461538461538,177,7.64766839378238,27.5714285714286,35.1428571428571
"146","JP Duminy",1,47,0.0212765957446809,23,0.478260869565217,72,7.12445095168375,29.695652173913,35.2608695652174
"204","Mohammed Shami",0,31,0,27,0.870967741935484,74,8.74051593323217,24.4074074074074,35.5555555555556
"18","AB Agarkar",0,42,0,33,0.785714285714286,60,8.59024390243902,24.8484848484848,35.5757575757576
"260","RR Powar",0,26,0,15,0.576923076923077,94,7.28668171557562,29.5333333333333,35.8666666666667
"33","AM Nayar",0,19,0,9,0.473684210526316,152,8.10878661087866,26.5555555555556,35.8888888888889
"180","M Kartik",1,55,0.0181818181818182,39,0.703703703703704,37,7.19796954314721,30.3076923076923,36.3589743589744
"38","Ankit Sharma",0,20,0,12,0.6,107,7.1869918699187,30.75,36.8333333333333
"128","J Suchith",0,13,0,10,0.769230769230769,146,8.75098814229249,25.3,36.9
"328","TG Southee",0,29,0,25,0.862068965517241,70,8.07525325615051,27.64,37.2
"53","B Lee",0,38,0,30,0.789473684210526,55,7.37554585152838,30.5333333333333,37.5333333333333
"300","SK Raina",0,68,0,30,0.441176470588235,53,7.35714285714286,30.8,37.7666666666667
"122","I Sharma",1,76,0.0131578947368421,59,0.773333333333333,21,8.02451838879159,29.0338983050847,38.8305084745763
"241","R Sathish",0,14,0,6,0.428571428571429,204,9.70833333333333,24,38.8333333333333
"26","AD Mathews",1,44,0.0227272727272727,28,0.627906976744186,61,8.14126394052045,28.8214285714286,39.1071428571429
"144","JO Holder",0,11,0,8,0.727272727272727,156,8.23684210526316,28.5,39.125
"338","V Sehwag",0,15,0,6,0.4,208,10.2608695652174,23,39.3333333333333
"158","KC Cariappa",0,10,0,8,0.8,168,8.95734597156398,26.375,39.375
"71","CH Gayle",0,37,0,19,0.513513513513513,82,7.7720207253886,30.4736842105263,39.4736842105263
"238","R McLaren",0,18,0,14,0.777777777777778,104,9,26.5714285714286,39.8571428571429
"148","JR Hopes",0,20,0,14,0.7,106,9.13821138211382,26.3571428571429,40.1428571428571
"112","GJ Maxwell",0,33,0,12,0.363636363636364,113,8.67664670658683,27.8333333333333,40.25
"14","AA Chavan",0,13,0,8,0.615384615384615,145,7.97647058823529,31.875,42.375
"225","Pankaj Singh",0,17,0,11,0.647058823529412,123,9.10610932475884,28.2727272727273,42.9090909090909
"346","VS Malik",0,13,0,6,0.461538461538462,167,7.58490566037736,35.3333333333333,44.6666666666667
"91","DJ Hooda",0,16,0,6,0.375,172,8.05970149253731,33.5,45
"73","CJ Anderson",0,19,0,9,0.473684210526316,143,9.45173745173745,28.7777777777778,45.3333333333333
"32","AL Menaria",0,12,0,3,0.25,220,7.64601769911504,37.6666666666667,48
"351","Y Venugopal Rao",0,20,0,7,0.35,158,9.13513513513514,31.7142857142857,48.2857142857143
"92","DJ Hussey",0,26,0,10,0.384615384615385,121,9.00928792569659,32.3,48.5
"131","J Yadav",0,10,0,4,0.4,183,6.45901639344262,45.75,49.25
"271","S Kaushik",0,10,0,6,0.6,170,8.68571428571429,35,50.6666666666667
"279","S Tyagi",0,14,0,6,0.428571428571429,162,8.29090909090909,36.6666666666667,50.6666666666667
"119","HH Pandya",0,31,0,10,0.32258064516129,103,8.832,37.5,55.2
"7","A Mithun",0,16,0,8,0.5,122,9.17307692307692,39,59.625
"226","Parvez Rasool",0,11,0,4,0.363636363636364,173,8.19,50,68.25
"330","TM Dilshan",0,25,0,5,0.2,135,8.02909090909091,55,73.6
"336","V Kohli",0,26,0,5,0.192307692307692,141,8.43181818181818,52.8,74.2
"15","AA Jhunjhunwala",0,10,0,1,0.1,235,8.86363636363636,88,130
